Ratio,Run,Phase,Tree,Metric,Value
10,42,Insert,WAVL Tree,Path,17825
10,42,Delete,RB Tree,Rotations,348
10,42,Delete,WAVL Tree,Rotations,298
10,42,Delete,RB Tree,Path,304
10,42,Delete,WAVL Tree,Path,294
10,43,Insert,RB Tree,Rotations,5789
10,43,Insert,WAVL Tree,Rotations,6891
10,43,Insert,RB Tree,Path,10210
10,43,Insert,WAVL Tree,Path,17925
10,43,Delete,RB Tree,Rotations,322
10,43,Delete,WAVL Tree,Rotations,298
10,43,Delete,RB Tree,Path,299
10,43,Delete,WAVL Tree,Path,295
10,44,Insert,RB Tree,Rotations,5949
10,44,Insert,WAVL Tree,Rotations,7022
10,44,Insert,RB Tree,Path,10290
10,44,Insert,WAVL Tree,Path,17953
10,44,Delete,RB Tree,Rotations,302
10,44,Delete,WAVL Tree,Rotations,317
10,44,Delete,RB Tree,Path,283
10,44,Delete,WAVL Tree,Path,293
10,45,Insert,RB Tree,Rotations,5832
10,45,Insert,WAVL Tree,Rotations,7112
10,45,Insert,RB Tree,Path,10296
10,45,Insert,WAVL Tree,Path,17863
10,45,Delete,RB Tree,Rotations,301
10,45,Delete,WAVL Tree,Rotations,272
10,45,Delete,RB Tree,Path,297
10,45,Delete,WAVL Tree,Path,280
10,46,Insert,RB Tree,Rotations,5805
10,46,Insert,WAVL Tree,Rotations,6948
10,46,Insert,RB Tree,Path,10278
10,46,Insert,WAVL Tree,Path,17904
10,46,Delete,RB Tree,Rotations,307
10,46,Delete,WAVL Tree,Rotations,307
10,46,Delete,RB Tree,Path,298
10,46,Delete,WAVL Tree,Path,275
10,47,Insert,RB Tree,Rotations,5786
10,47,Insert,WAVL Tree,Rotations,6883
10,47,Insert,RB Tree,Path,10276
10,47,Insert,WAVL Tree,Path,17739
10,47,Delete,RB Tree,Rotations,305
10,47,Delete,WAVL Tree,Rotations,277
10,47,Delete,RB Tree,Path,296
10,47,Delete,WAVL Tree,Path,297
10,48,Insert,RB Tree,Rotations,5905
10,48,Insert,WAVL Tree,Rotations,7088
10,48,Insert,RB Tree,Path,10278
10,48,Insert,WAVL Tree,Path,17815
10,48,Delete,RB Tree,Rotations,317
10,48,Delete,WAVL Tree,Rotations,312
10,48,Delete,RB Tree,Path,304
10,48,Delete,WAVL Tree,Path,288
10,49,Insert,RB Tree,Rotations,5810
10,49,Insert,WAVL Tree,Rotations,7025
10,49,Insert,RB Tree,Path,10300
10,49,Insert,WAVL Tree,Path,17843
10,49,Delete,RB Tree,Rotations,368
10,49,Delete,WAVL Tree,Rotations,325
10,49,Delete,RB Tree,Path,330
10,49,Delete,WAVL Tree,Path,301
10,50,Insert,RB Tree,Rotations,5744
10,50,Insert,WAVL Tree,Rotations,6901
10,50,Insert,RB Tree,Path,10238
10,50,Insert,WAVL Tree,Path,17814
10,50,Delete,RB Tree,Rotations,308
10,50,Delete,WAVL Tree,Rotations,305
10,50,Delete,RB Tree,Path,288
10,50,Delete,WAVL Tree,Path,307
20,1,Insert,RB Tree,Rotations,5833
20,1,Insert,WAVL Tree,Rotations,6873
20,1,Insert,RB Tree,Path,10210
20,1,Insert,WAVL Tree,Path,17810
20,1,Delete,RB Tree,Rotations,666
20,1,Delete,WAVL Tree,Rotations,672
20,1,Delete,RB Tree,Path,705
20,1,Delete,WAVL Tree,Path,723
20,2,Insert,RB Tree,Rotations,5830
20,2,Insert,WAVL Tree,Rotations,7036
20,2,Insert,RB Tree,Path,10222
20,2,Insert,WAVL Tree,Path,17871
20,2,Delete,RB Tree,Rotations,674
20,2,Delete,WAVL Tree,Rotations,668
20,2,Delete,RB Tree,Path,720
20,2,Delete,WAVL Tree,Path,725
20,3,Insert,RB Tree,Rotations,5785
20,3,Insert,WAVL Tree,Rotations,6841
20,3,Insert,RB Tree,Path,10230
20,3,Insert,WAVL Tree,Path,17718
20,3,Delete,RB Tree,Rotations,691
20,3,Delete,WAVL Tree,Rotations,657
20,3,Delete,RB Tree,Path,716
20,3,Delete,WAVL Tree,Path,714
20,4,Insert,RB Tree,Rotations,5809
20,4,Insert,WAVL Tree,Rotations,6946
20,4,Insert,RB Tree,Path,10234
20,4,Insert,WAVL Tree,Path,17822
20,4,Delete,RB Tree,Rotations,618
20,4,Delete,WAVL Tree,Rotations,659
20,4,Delete,RB Tree,Path,711
20,4,Delete,WAVL Tree,Path,748
20,5,Insert,RB Tree,Rotations,5872
20,5,Insert,WAVL Tree,Rotations,7065
20,5,Insert,RB Tree,Path,10224
20,5,Insert,WAVL Tree,Path,17887
20,5,Delete,RB Tree,Rotations,698
20,5,Delete,WAVL Tree,Rotations,650
20,5,Delete,RB Tree,Path,699
20,5,Delete,WAVL Tree,Path,703
20,6,Insert,RB Tree,Rotations,5849
20,6,Insert,WAVL Tree,Rotations,6948
20,6,Insert,RB Tree,Path,10238
20,6,Insert,WAVL Tree,Path,17790
20,6,Delete,RB Tree,Rotations,670
20,6,Delete,WAVL Tree,Rotations,667
20,6,Delete,RB Tree,Path,736
20,6,Delete,WAVL Tree,Path,722
20,7,Insert,RB Tree,Rotations,5786
20,7,Insert,WAVL Tree,Rotations,6875
20,7,Insert,RB Tree,Path,10294
20,7,Insert,WAVL Tree,Path,17731
20,7,Delete,RB Tree,Rotations,720
20,7,Delete,WAVL Tree,Rotations,641
20,7,Delete,RB Tree,Path,779
20,7,Delete,WAVL Tree,Path,747
20,8,Insert,RB Tree,Rotations,5765
20,8,Insert,WAVL Tree,Rotations,6967
20,8,Insert,RB Tree,Path,10204
20,8,Insert,WAVL Tree,Path,17866
20,8,Delete,RB Tree,Rotations,650
20,8,Delete,WAVL Tree,Rotations,607
