Ratio,Run,Phase,Tree,Metric,Value_ns
10,30,Lookup,RB Tree,Latency,1001
10,30,Lookup,WAVL Tree,Latency,1028
10,30,Delete,RB Tree,Latency,997
10,30,Delete,WAVL Tree,Latency,1003
10,30,Traversal,RB Tree,Latency,71746694
10,30,Traversal,WAVL Tree,Latency,71498758
10,31,Insert,RB Tree,Latency,1001
10,31,Insert,WAVL Tree,Latency,1041
10,31,Lookup,RB Tree,Latency,1008
10,31,Lookup,WAVL Tree,Latency,1025
10,31,Delete,RB Tree,Latency,1007
10,31,Delete,WAVL Tree,Latency,1012
10,31,Traversal,RB Tree,Latency,77005572
10,31,Traversal,WAVL Tree,Latency,78035027
10,32,Insert,RB Tree,Latency,1003
10,32,Insert,WAVL Tree,Latency,1044
10,32,Lookup,RB Tree,Latency,1006
10,32,Lookup,WAVL Tree,Latency,1031
10,32,Delete,RB Tree,Latency,1005
10,32,Delete,WAVL Tree,Latency,1009
10,32,Traversal,RB Tree,Latency,72822105
10,32,Traversal,WAVL Tree,Latency,72778245
10,33,Insert,RB Tree,Latency,1001
10,33,Insert,WAVL Tree,Latency,1043
10,33,Lookup,RB Tree,Latency,1007
10,33,Lookup,WAVL Tree,Latency,1028
10,33,Delete,RB Tree,Latency,1006
10,33,Delete,WAVL Tree,Latency,1013
10,33,Traversal,RB Tree,Latency,75718615
10,33,Traversal,WAVL Tree,Latency,77166208
10,34,Insert,RB Tree,Latency,1007
10,34,Insert,WAVL Tree,Latency,1048
10,34,Lookup,RB Tree,Latency,1012
10,34,Lookup,WAVL Tree,Latency,1042
10,34,Delete,RB Tree,Latency,1008
10,34,Delete,WAVL Tree,Latency,1014
10,34,Traversal,RB Tree,Latency,72399987
10,34,Traversal,WAVL Tree,Latency,74142168
10,35,Insert,RB Tree,Latency,1005
10,35,Insert,WAVL Tree,Latency,1046
10,35,Lookup,RB Tree,Latency,1003
10,35,Lookup,WAVL Tree,Latency,1024
10,35,Delete,RB Tree,Latency,1001
10,35,Delete,WAVL Tree,Latency,1003
10,35,Traversal,RB Tree,Latency,73470159
10,35,Traversal,WAVL Tree,Latency,73144979
10,36,Insert,RB Tree,Latency,1005
10,36,Insert,WAVL Tree,Latency,1046
10,36,Lookup,RB Tree,Latency,1008
10,36,Lookup,WAVL Tree,Latency,1028
10,36,Delete,RB Tree,Latency,1007
10,36,Delete,WAVL Tree,Latency,1011
10,36,Traversal,RB Tree,Latency,74378579
10,36,Traversal,WAVL Tree,Latency,74012613
10,37,Insert,RB Tree,Latency,1006
10,37,Insert,WAVL Tree,Latency,1044
10,37,Lookup,RB Tree,Latency,1011
10,37,Lookup,WAVL Tree,Latency,1028
10,37,Delete,RB Tree,Latency,1007
10,37,Delete,WAVL Tree,Latency,1012
10,37,Traversal,RB Tree,Latency,74437455
10,37,Traversal,WAVL Tree,Latency,73967706
10,38,Insert,RB Tree,Latency,1002
10,38,Insert,WAVL Tree,Latency,1043
10,38,Lookup,RB Tree,Latency,1006
10,38,Lookup,WAVL Tree,Latency,1027
10,38,Delete,RB Tree,Latency,1007
10,38,Delete,WAVL Tree,Latency,1010
10,38,Traversal,RB Tree,Latency,73056562
10,38,Traversal,WAVL Tree,Latency,72603783
10,39,Insert,RB Tree,Latency,1003
10,39,Insert,WAVL Tree,Latency,1045
10,39,Lookup,RB Tree,Latency,1006
10,39,Lookup,WAVL Tree,Latency,1026
10,39,Delete,RB Tree,Latency,1008
10,39,Delete,WAVL Tree,Latency,1012
10,39,Traversal,RB Tree,Latency,72146255
10,39,Traversal,WAVL Tree,Latency,71381079
10,40,Insert,RB Tree,Latency,1000
10,40,Insert,WAVL Tree,Latency,1044
10,40,Lookup,RB Tree,Latency,1007
10,40,Lookup,WAVL Tree,Latency,1030
10,40,Delete,RB Tree,Latency,1008
