PoolSize,Run,Phase,Tree,Metric,Value_ns
500000,9,Mixed,RB Tree,Latency,259
500000,9,Mixed,WAVL Tree,Latency,275
500000,10,Mixed,RB Tree,Latency,257
500000,10,Mixed,WAVL Tree,Latency,279
500000,11,Mixed,RB Tree,Latency,258
500000,11,Mixed,WAVL Tree,Latency,270
500000,12,Mixed,RB Tree,Latency,258
500000,12,Mixed,WAVL Tree,Latency,274
500000,13,Mixed,RB Tree,Latency,259
500000,13,Mixed,WAVL Tree,Latency,272
500000,14,Mixed,RB Tree,Latency,256
500000,14,Mixed,WAVL Tree,Latency,273
500000,15,Mixed,RB Tree,Latency,259
500000,15,Mixed,WAVL Tree,Latency,272
500000,16,Mixed,RB Tree,Latency,259
500000,16,Mixed,WAVL Tree,Latency,272
500000,17,Mixed,RB Tree,Latency,258
500000,17,Mixed,WAVL Tree,Latency,273
500000,18,Mixed,RB Tree,Latency,256
500000,18,Mixed,WAVL Tree,Latency,272
500000,19,Mixed,RB Tree,Latency,259
500000,19,Mixed,WAVL Tree,Latency,272
500000,20,Mixed,RB Tree,Latency,257
500000,20,Mixed,WAVL Tree,Latency,274
1000000,1,Mixed,RB Tree,Latency,293
1000000,1,Mixed,WAVL Tree,Latency,293
1000000,2,Mixed,RB Tree,Latency,287
1000000,2,Mixed,WAVL Tree,Latency,304
1000000,3,Mixed,RB Tree,Latency,303
1000000,3,Mixed,WAVL Tree,Latency,300
1000000,4,Mixed,RB Tree,Latency,284
1000000,4,Mixed,WAVL Tree,Latency,309
1000000,5,Mixed,RB Tree,Latency,298
1000000,5,Mixed,WAVL Tree,Latency,303
1000000,6,Mixed,RB Tree,Latency,292
1000000,6,Mixed,WAVL Tree,Latency,319
1000000,7,Mixed,RB Tree,Latency,292
1000000,7,Mixed,WAVL Tree,Latency,298
1000000,8,Mixed,RB Tree,Latency,284
1000000,8,Mixed,WAVL Tree,Latency,325
1000000,9,Mixed,RB Tree,Latency,333
1000000,9,Mixed,WAVL Tree,Latency,299
1000000,10,Mixed,RB Tree,Latency,292
1000000,10,Mixed,WAVL Tree,Latency,313
1000000,11,Mixed,RB Tree,Latency,298
1000000,11,Mixed,WAVL Tree,Latency,301
1000000,12,Mixed,RB Tree,Latency,286
1000000,12,Mixed,WAVL Tree,Latency,306
1000000,13,Mixed,RB Tree,Latency,295
1000000,13,Mixed,WAVL Tree,Latency,298
1000000,14,Mixed,RB Tree,Latency,288
1000000,14,Mixed,WAVL Tree,Latency,307
1000000,15,Mixed,RB Tree,Latency,292
1000000,15,Mixed,WAVL Tree,Latency,300
1000000,16,Mixed,RB Tree,Latency,287
1000000,16,Mixed,WAVL Tree,Latency,307
1000000,17,Mixed,RB Tree,Latency,294
1000000,17,Mixed,WAVL Tree,Latency,300
1000000,18,Mixed,RB Tree,Latency,286
1000000,18,Mixed,WAVL Tree,Latency,305
1000000,19,Mixed,RB Tree,Latency,297
1000000,19,Mixed,WAVL Tree,Latency,302
1000000,20,Mixed,RB Tree,Latency,286
1000000,20,Mixed,WAVL Tree,Latency,304
