Ratio,Run,Tree,Metric,Value
10,34,RB Tree,LLC Misses,
10,34,RB Tree,Branch Misses,31680024
10,34,WAVL Tree,L1 Misses,28936870
10,34,WAVL Tree,LLC Misses,
10,34,WAVL Tree,Branch Misses,33918077
10,35,RB Tree,L1 Misses,28183752
10,35,RB Tree,LLC Misses,
10,35,RB Tree,Branch Misses,31648417
10,35,WAVL Tree,L1 Misses,28725174
10,35,WAVL Tree,LLC Misses,
10,35,WAVL Tree,Branch Misses,33913117
10,36,RB Tree,L1 Misses,28412765
10,36,RB Tree,LLC Misses,
10,36,RB Tree,Branch Misses,31661851
10,36,WAVL Tree,L1 Misses,28847644
10,36,WAVL Tree,LLC Misses,
10,36,WAVL Tree,Branch Misses,33930909
10,37,RB Tree,L1 Misses,28236395
10,37,RB Tree,LLC Misses,
10,37,RB Tree,Branch Misses,31677632
10,37,WAVL Tree,L1 Misses,28269327
10,37,WAVL Tree,LLC Misses,
10,37,WAVL Tree,Branch Misses,33936531
10,38,RB Tree,L1 Misses,28028513
10,38,RB Tree,LLC Misses,
10,38,RB Tree,Branch Misses,31666712
10,38,WAVL Tree,L1 Misses,28770137
10,38,WAVL Tree,LLC Misses,
10,38,WAVL Tree,Branch Misses,33894489
10,39,RB Tree,L1 Misses,28050835
10,39,RB Tree,LLC Misses,
10,39,RB Tree,Branch Misses,31660822
10,39,WAVL Tree,L1 Misses,29500136
10,39,WAVL Tree,LLC Misses,
10,39,WAVL Tree,Branch Misses,33930651
10,40,RB Tree,L1 Misses,27201726
10,40,RB Tree,LLC Misses,
10,40,RB Tree,Branch Misses,31679338
10,40,WAVL Tree,L1 Misses,28211515
10,40,WAVL Tree,LLC Misses,
10,40,WAVL Tree,Branch Misses,33879530
10,41,RB Tree,L1 Misses,27916470
10,41,RB Tree,LLC Misses,
10,41,RB Tree,Branch Misses,31637353
10,41,WAVL Tree,L1 Misses,28672745
10,41,WAVL Tree,LLC Misses,
10,41,WAVL Tree,Branch Misses,33917687
10,42,RB Tree,L1 Misses,28860662
10,42,RB Tree,LLC Misses,
10,42,RB Tree,Branch Misses,31645243
10,42,WAVL Tree,L1 Misses,28942780
10,42,WAVL Tree,LLC Misses,
10,42,WAVL Tree,Branch Misses,33922892
10,43,RB Tree,L1 Misses,27860561
10,43,RB Tree,LLC Misses,
10,43,RB Tree,Branch Misses,31668786
10,43,WAVL Tree,L1 Misses,28605147
10,43,WAVL Tree,LLC Misses,
10,43,WAVL Tree,Branch Misses,33915593
10,44,RB Tree,L1 Misses,28067670
10,44,RB Tree,LLC Misses,
10,44,RB Tree,Branch Misses,31643369
10,44,WAVL Tree,L1 Misses,28372347
10,44,WAVL Tree,LLC Misses,
10,44,WAVL Tree,Branch Misses,33928652
10,45,RB Tree,L1 Misses,27975909
10,45,RB Tree,LLC Misses,
10,45,RB Tree,Branch Misses,31637914
10,45,WAVL Tree,L1 Misses,28711613
10,45,WAVL Tree,LLC Misses,
10,45,WAVL Tree,Branch Misses,33913194
10,46,RB Tree,L1 Misses,28672711
10,46,RB Tree,LLC Misses,
10,46,RB Tree,Branch Misses,31696343
10,46,WAVL Tree,L1 Misses,29072390
10,46,WAVL Tree,LLC Misses,
10,46,WAVL Tree,Branch Misses,33894393
10,47,RB Tree,L1 Misses,28284116
10,47,RB Tree,LLC Misses,
10,47,RB Tree,Branch Misses,31673603
10,47,WAVL Tree,L1 Misses,28390720
10,47,WAVL Tree,LLC Misses,
10,47,WAVL Tree,Branch Misses,33942122
10,48,RB Tree,L1 Misses,28117306
10,48,RB Tree,LLC Misses,
10,48,RB Tree,Branch Misses,31702825
10,48,WAVL Tree,L1 Misses,28858531
10,48,WAVL Tree,LLC Misses,
10,48,WAVL Tree,Branch Misses,33920947
10,49,RB Tree,L1 Misses,28128726
10,49,RB Tree,LLC Misses,
10,49,RB Tree,Branch Misses,31655964
10,49,WAVL Tree,L1 Misses,29166171
10,49,WAVL Tree,LLC Misses,
10,49,WAVL Tree,Branch Misses,33924183
10,50,RB Tree,L1 Misses,28253837
10,50,RB Tree,LLC Misses,
10,50,RB Tree,Branch Misses,31694416
10,50,WAVL Tree,L1 Misses,28805896
10,50,WAVL Tree,LLC Misses,
10,50,WAVL Tree,Branch Misses,33935567
20,1,RB Tree,L1 Misses,30865042
20,1,RB Tree,LLC Misses,
20,1,RB Tree,Branch Misses,33975774
20,1,WAVL Tree,L1 Misses,31284266
20,1,WAVL Tree,LLC Misses,
20,1,WAVL Tree,Branch Misses,36392572
20,2,RB Tree,L1 Misses,30786742
20,2,RB Tree,LLC Misses,
20,2,RB Tree,Branch Misses,33980255
20,2,WAVL Tree,L1 Misses,31303510
20,2,WAVL Tree,LLC Misses,
20,2,WAVL Tree,Branch Misses,36373717
20,3,RB Tree,L1 Misses,31184473
20,3,RB Tree,LLC Misses,
20,3,RB Tree,Branch Misses,33935503
20,3,WAVL Tree,L1 Misses,31108363
20,3,WAVL Tree,LLC Misses,
20,3,WAVL Tree,Branch Misses,36364587
20,4,RB Tree,L1 Misses,31225801
20,4,RB Tree,LLC Misses,
20,4,RB Tree,Branch Misses,33922475
20,4,WAVL Tree,L1 Misses,30752238
20,4,WAVL Tree,LLC Misses,
20,4,WAVL Tree,Branch Misses,36357991
20,5,RB Tree,L1 Misses,31174774
20,5,RB Tree,LLC Misses,
20,5,RB Tree,Branch Misses,33950193
20,5,WAVL Tree,L1 Misses,31057594
20,5,WAVL Tree,LLC Misses,
20,5,WAVL Tree,Branch Misses,36385505
20,6,RB Tree,L1 Misses,30900466
20,6,RB Tree,LLC Misses,
20,6,RB Tree,Branch Misses,33970484
20,6,WAVL Tree,L1 Misses,30910206
20,6,WAVL Tree,LLC Misses,
20,6,WAVL Tree,Branch Misses,36396494
20,7,RB Tree,L1 Misses,30327914
20,7,RB Tree,LLC Misses,
20,7,RB Tree,Branch Misses,33970352
20,7,WAVL Tree,L1 Misses,31201776
20,7,WAVL Tree,LLC Misses,
20,7,WAVL Tree,Branch Misses,36377191
20,8,RB Tree,L1 Misses,31056228
20,8,RB Tree,LLC Misses,
20,8,RB Tree,Branch Misses,33957408
20,8,WAVL Tree,L1 Misses,30173365
20,8,WAVL Tree,LLC Misses,
20,8,WAVL Tree,Branch Misses,36390961
20,9,RB Tree,L1 Misses,31158631
20,9,RB Tree,LLC Misses,
20,9,RB Tree,Branch Misses,33967183
20,9,WAVL Tree,L1 Misses,31333816
20,9,WAVL Tree,LLC Misses,
20,9,WAVL Tree,Branch Misses,36391934
20,10,RB Tree,L1 Misses,31237221
20,10,RB Tree,LLC Misses,
20,10,RB Tree,Branch Misses,33978120
20,10,WAVL Tree,L1 Misses,31041054
20,10,WAVL Tree,LLC Misses,
20,10,WAVL Tree,Branch Misses,36383037
20,11,RB Tree,L1 Misses,30704772
20,11,RB Tree,LLC Misses,
20,11,RB Tree,Branch Misses,33958320
20,11,WAVL Tree,L1 Misses,30045539
20,11,WAVL Tree,LLC Misses,
20,11,WAVL Tree,Branch Misses,36381394
20,12,RB Tree,L1 Misses,30731808
20,12,RB Tree,LLC Misses,
20,12,RB Tree,Branch Misses,33960972
20,12,WAVL Tree,L1 Misses,30620924
20,12,WAVL Tree,LLC Misses,
20,12,WAVL Tree,Branch Misses,36377644
20,13,RB Tree,L1 Misses,30845750
20,13,RB Tree,LLC Misses,
20,13,RB Tree,Branch Misses,33963224
20,13,WAVL Tree,L1 Misses,31459229
20,13,WAVL Tree,LLC Misses,
20,13,WAVL Tree,Branch Misses,36410705
20,14,RB Tree,L1 Misses,30815076
20,14,RB Tree,LLC Misses,
20,14,RB Tree,Branch Misses,33980842
20,14,WAVL Tree,L1 Misses,30766218
20,14,WAVL Tree,LLC Misses,
20,14,WAVL Tree,Branch Misses,36374707
20,15,RB Tree,L1 Misses,31006024
20,15,RB Tree,LLC Misses,
20,15,RB Tree,Branch Misses,33966510
20,15,WAVL Tree,L1 Misses,31015153
20,15,WAVL Tree,LLC Misses,
20,15,WAVL Tree,Branch Misses,36383967
20,16,RB Tree,L1 Misses,31035031
20,16,RB Tree,LLC Misses,
20,16,RB Tree,Branch Misses,34007500
20,16,WAVL Tree,L1 Misses,31288995
20,16,WAVL Tree,LLC Misses,
20,16,WAVL Tree,Branch Misses,36371595
20,17,RB Tree,L1 Misses,30825716
20,17,RB Tree,LLC Misses,
20,17,RB Tree,Branch Misses,34001504
20,17,WAVL Tree,L1 Misses,31483840
20,17,WAVL Tree,LLC Misses,
