Mode,Ratio,Run,Tree,Metric,Value
seq,20,18,RB Tree,LLC Misses,
seq,20,18,RB Tree,Branch Misses,20227175
seq,20,18,WAVL Tree,L1 Misses,3367542
seq,20,18,WAVL Tree,LLC Misses,
seq,20,18,WAVL Tree,Branch Misses,23420204
seq,20,19,RB Tree,L1 Misses,3489924
seq,20,19,RB Tree,LLC Misses,
seq,20,19,RB Tree,Branch Misses,20168717
seq,20,19,WAVL Tree,L1 Misses,3286733
seq,20,19,WAVL Tree,LLC Misses,
seq,20,19,WAVL Tree,Branch Misses,23375197
seq,20,20,RB Tree,L1 Misses,3485901
seq,20,20,RB Tree,LLC Misses,
seq,20,20,RB Tree,Branch Misses,20180610
seq,20,20,WAVL Tree,L1 Misses,3257627
seq,20,20,WAVL Tree,LLC Misses,
seq,20,20,WAVL Tree,Branch Misses,23382311
seq,30,1,RB Tree,L1 Misses,3518491
seq,30,1,RB Tree,LLC Misses,
seq,30,1,RB Tree,Branch Misses,21330425
seq,30,1,WAVL Tree,L1 Misses,3349226
seq,30,1,WAVL Tree,LLC Misses,
seq,30,1,WAVL Tree,Branch Misses,24792108
seq,30,2,RB Tree,L1 Misses,3480983
seq,30,2,RB Tree,LLC Misses,
seq,30,2,RB Tree,Branch Misses,21397516
seq,30,2,WAVL Tree,L1 Misses,3397485
seq,30,2,WAVL Tree,LLC Misses,
seq,30,2,WAVL Tree,Branch Misses,24716662
seq,30,3,RB Tree,L1 Misses,3495149
seq,30,3,RB Tree,LLC Misses,
seq,30,3,RB Tree,Branch Misses,21284464
seq,30,3,WAVL Tree,L1 Misses,3295661
seq,30,3,WAVL Tree,LLC Misses,
seq,30,3,WAVL Tree,Branch Misses,24763498
seq,30,4,RB Tree,L1 Misses,3655738
seq,30,4,RB Tree,LLC Misses,
seq,30,4,RB Tree,Branch Misses,21388404
seq,30,4,WAVL Tree,L1 Misses,3329568
seq,30,4,WAVL Tree,LLC Misses,
seq,30,4,WAVL Tree,Branch Misses,24725465
seq,30,5,RB Tree,L1 Misses,3493598
seq,30,5,RB Tree,LLC Misses,
seq,30,5,RB Tree,Branch Misses,21442583
seq,30,5,WAVL Tree,L1 Misses,3395128
seq,30,5,WAVL Tree,LLC Misses,
seq,30,5,WAVL Tree,Branch Misses,24812464
seq,30,6,RB Tree,L1 Misses,3502170
seq,30,6,RB Tree,LLC Misses,
seq,30,6,RB Tree,Branch Misses,21356475
seq,30,6,WAVL Tree,L1 Misses,3286620
seq,30,6,WAVL Tree,LLC Misses,
seq,30,6,WAVL Tree,Branch Misses,24738405
seq,30,7,RB Tree,L1 Misses,3445080
seq,30,7,RB Tree,LLC Misses,
seq,30,7,RB Tree,Branch Misses,21359292
seq,30,7,WAVL Tree,L1 Misses,3317678
seq,30,7,WAVL Tree,LLC Misses,
seq,30,7,WAVL Tree,Branch Misses,24720925
seq,30,8,RB Tree,L1 Misses,3417125
seq,30,8,RB Tree,LLC Misses,
seq,30,8,RB Tree,Branch Misses,21340583
seq,30,8,WAVL Tree,L1 Misses,3335846
seq,30,8,WAVL Tree,LLC Misses,
seq,30,8,WAVL Tree,Branch Misses,24670145
seq,30,9,RB Tree,L1 Misses,3452156
seq,30,9,RB Tree,LLC Misses,
seq,30,9,RB Tree,Branch Misses,21407922
seq,30,9,WAVL Tree,L1 Misses,3327558
seq,30,9,WAVL Tree,LLC Misses,
seq,30,9,WAVL Tree,Branch Misses,24732815
seq,30,10,RB Tree,L1 Misses,3506514
seq,30,10,RB Tree,LLC Misses,
seq,30,10,RB Tree,Branch Misses,21404286
seq,30,10,WAVL Tree,L1 Misses,3340560
seq,30,10,WAVL Tree,LLC Misses,
seq,30,10,WAVL Tree,Branch Misses,24806097
seq,30,11,RB Tree,L1 Misses,3432272
seq,30,11,RB Tree,LLC Misses,
seq,30,11,RB Tree,Branch Misses,21433530
seq,30,11,WAVL Tree,L1 Misses,3318189
seq,30,11,WAVL Tree,LLC Misses,
seq,30,11,WAVL Tree,Branch Misses,24795528
seq,30,12,RB Tree,L1 Misses,3456649
seq,30,12,RB Tree,LLC Misses,
seq,30,12,RB Tree,Branch Misses,21455632
seq,30,12,WAVL Tree,L1 Misses,3297659
seq,30,12,WAVL Tree,LLC Misses,
seq,30,12,WAVL Tree,Branch Misses,24771140
seq,30,13,RB Tree,L1 Misses,4217792
seq,30,13,RB Tree,LLC Misses,
seq,30,13,RB Tree,Branch Misses,21470770
seq,30,13,WAVL Tree,L1 Misses,3272843
seq,30,13,WAVL Tree,LLC Misses,
seq,30,13,WAVL Tree,Branch Misses,24777420
seq,30,14,RB Tree,L1 Misses,3519739
seq,30,14,RB Tree,LLC Misses,
seq,30,14,RB Tree,Branch Misses,21409527
seq,30,14,WAVL Tree,L1 Misses,3363621
seq,30,14,WAVL Tree,LLC Misses,
seq,30,14,WAVL Tree,Branch Misses,24780243
seq,30,15,RB Tree,L1 Misses,3550679
seq,30,15,RB Tree,LLC Misses,
seq,30,15,RB Tree,Branch Misses,21386396
seq,30,15,WAVL Tree,L1 Misses,3347394
seq,30,15,WAVL Tree,LLC Misses,
seq,30,15,WAVL Tree,Branch Misses,24816187
seq,30,16,RB Tree,L1 Misses,3494647
seq,30,16,RB Tree,LLC Misses,
seq,30,16,RB Tree,Branch Misses,21384880
seq,30,16,WAVL Tree,L1 Misses,3316590
seq,30,16,WAVL Tree,LLC Misses,
seq,30,16,WAVL Tree,Branch Misses,24731727
seq,30,17,RB Tree,L1 Misses,3464993
seq,30,17,RB Tree,LLC Misses,
seq,30,17,RB Tree,Branch Misses,21384818
seq,30,17,WAVL Tree,L1 Misses,3322786
seq,30,17,WAVL Tree,LLC Misses,
seq,30,17,WAVL Tree,Branch Misses,24786538
seq,30,18,RB Tree,L1 Misses,6125138
seq,30,18,RB Tree,LLC Misses,
seq,30,18,RB Tree,Branch Misses,21343361
seq,30,18,WAVL Tree,L1 Misses,3364904
seq,30,18,WAVL Tree,LLC Misses,
seq,30,18,WAVL Tree,Branch Misses,24743935
seq,30,19,RB Tree,L1 Misses,3473771
seq,30,19,RB Tree,LLC Misses,
seq,30,19,RB Tree,Branch Misses,21265066
seq,30,19,WAVL Tree,L1 Misses,3297838
seq,30,19,WAVL Tree,LLC Misses,
seq,30,19,WAVL Tree,Branch Misses,24717250
seq,30,20,RB Tree,L1 Misses,3553203
seq,30,20,RB Tree,LLC Misses,
seq,30,20,RB Tree,Branch Misses,21351867
seq,30,20,WAVL Tree,L1 Misses,3333259
seq,30,20,WAVL Tree,LLC Misses,
seq,30,20,WAVL Tree,Branch Misses,24813355
seq,40,1,RB Tree,L1 Misses,3606661
seq,40,1,RB Tree,LLC Misses,
seq,40,1,RB Tree,Branch Misses,22589826
seq,40,1,WAVL Tree,L1 Misses,3351555
seq,40,1,WAVL Tree,LLC Misses,
seq,40,1,WAVL Tree,Branch Misses,26163409
seq,40,2,RB Tree,L1 Misses,3469942
seq,40,2,RB Tree,LLC Misses,
seq,40,2,RB Tree,Branch Misses,22631739
seq,40,2,WAVL Tree,L1 Misses,3398429
seq,40,2,WAVL Tree,LLC Misses,
seq,40,2,WAVL Tree,Branch Misses,26062251
seq,40,3,RB Tree,L1 Misses,3543917
seq,40,3,RB Tree,LLC Misses,
seq,40,3,RB Tree,Branch Misses,22574444
seq,40,3,WAVL Tree,L1 Misses,3406721
seq,40,3,WAVL Tree,LLC Misses,
seq,40,3,WAVL Tree,Branch Misses,26055594
seq,40,4,RB Tree,L1 Misses,3555627
seq,40,4,RB Tree,LLC Misses,
seq,40,4,RB Tree,Branch Misses,22589082
seq,40,4,WAVL Tree,L1 Misses,3311815
seq,40,4,WAVL Tree,LLC Misses,
seq,40,4,WAVL Tree,Branch Misses,26041607
seq,40,5,RB Tree,L1 Misses,3475599
seq,40,5,RB Tree,LLC Misses,
seq,40,5,RB Tree,Branch Misses,22565741
seq,40,5,WAVL Tree,L1 Misses,3437840
seq,40,5,WAVL Tree,LLC Misses,
seq,40,5,WAVL Tree,Branch Misses,26018930
seq,40,6,RB Tree,L1 Misses,3629566
seq,40,6,RB Tree,LLC Misses,
seq,40,6,RB Tree,Branch Misses,22597588
seq,40,6,WAVL Tree,L1 Misses,3381902
seq,40,6,WAVL Tree,LLC Misses,
seq,40,6,WAVL Tree,Branch Misses,26059127
seq,40,7,RB Tree,L1 Misses,3450829
seq,40,7,RB Tree,LLC Misses,
seq,40,7,RB Tree,Branch Misses,22551058
seq,40,7,WAVL Tree,L1 Misses,3346932
seq,40,7,WAVL Tree,LLC Misses,
seq,40,7,WAVL Tree,Branch Misses,26072451
seq,40,8,RB Tree,L1 Misses,3619530
seq,40,8,RB Tree,LLC Misses,
seq,40,8,RB Tree,Branch Misses,22557185
seq,40,8,WAVL Tree,L1 Misses,3380513
seq,40,8,WAVL Tree,LLC Misses,
seq,40,8,WAVL Tree,Branch Misses,26134198
seq,40,9,RB Tree,L1 Misses,3569296
seq,40,9,RB Tree,LLC Misses,
seq,40,9,RB Tree,Branch Misses,22661156
seq,40,9,WAVL Tree,L1 Misses,4167803
seq,40,9,WAVL Tree,LLC Misses,
seq,40,9,WAVL Tree,Branch Misses,26067408
seq,40,10,RB Tree,L1 Misses,3544961
seq,40,10,RB Tree,LLC Misses,
seq,40,10,RB Tree,Branch Misses,22608256
seq,40,10,WAVL Tree,L1 Misses,3341439
seq,40,10,WAVL Tree,LLC Misses,
seq,40,10,WAVL Tree,Branch Misses,26062340
seq,40,11,RB Tree,L1 Misses,3486923
seq,40,11,RB Tree,LLC Misses,
seq,40,11,RB Tree,Branch Misses,22623506
seq,40,11,WAVL Tree,L1 Misses,3454765
seq,40,11,WAVL Tree,LLC Misses,
seq,40,11,WAVL Tree,Branch Misses,26092161
seq,40,12,RB Tree,L1 Misses,3528791
seq,40,12,RB Tree,LLC Misses,
seq,40,12,RB Tree,Branch Misses,22523545
seq,40,12,WAVL Tree,L1 Misses,3430638
seq,40,12,WAVL Tree,LLC Misses,
seq,40,12,WAVL Tree,Branch Misses,26060703
seq,40,13,RB Tree,L1 Misses,3507576
seq,40,13,RB Tree,LLC Misses,
seq,40,13,RB Tree,Branch Misses,22635919
seq,40,13,WAVL Tree,L1 Misses,3319219
seq,40,13,WAVL Tree,LLC Misses,
seq,40,13,WAVL Tree,Branch Misses,26095511
seq,40,14,RB Tree,L1 Misses,3483801
seq,40,14,RB Tree,LLC Misses,
seq,40,14,RB Tree,Branch Misses,22623733
seq,40,14,WAVL Tree,L1 Misses,3332385
seq,40,14,WAVL Tree,LLC Misses,
seq,40,14,WAVL Tree,Branch Misses,26127905
seq,40,15,RB Tree,L1 Misses,3594677
