Mode,N,D,Phase,RB_Latency_ns,WAVL_Latency_ns
seq,1000000,470000,Lookup,42,41
seq,1000000,470000,Delete,49,60
seq,1000000,470000,Traversal,14639797,14085567
seq,1000000,490000,Lookup,42,40
seq,1000000,490000,Delete,49,59
seq,1000000,490000,Traversal,14239328,13739330
seq,1000000,510000,Lookup,42,40
seq,1000000,510000,Delete,49,59
seq,1000000,510000,Traversal,13450724,12828014
seq,1000000,530000,Lookup,42,41
seq,1000000,530000,Delete,49,59
seq,1000000,530000,Traversal,12905792,12452403
seq,1000000,550000,Lookup,42,40
seq,1000000,550000,Delete,49,59
seq,1000000,550000,Traversal,12647352,12066441
seq,1000000,570000,Lookup,42,41
seq,1000000,570000,Delete,49,59
seq,1000000,570000,Traversal,11814414,11188508
seq,1000000,590000,Lookup,42,41
seq,1000000,590000,Delete,49,59
seq,1000000,590000,Traversal,11257719,10638656
seq,1000000,610000,Lookup,42,41
seq,1000000,610000,Delete,49,59
seq,1000000,610000,Traversal,10970906,10308681
seq,1000000,630000,Lookup,42,41
seq,1000000,630000,Delete,49,59
seq,1000000,630000,Traversal,10318039,9488046
seq,1000000,650000,Lookup,42,40
seq,1000000,650000,Delete,49,59
seq,1000000,650000,Traversal,9723142,8865397
seq,1000000,670000,Lookup,42,41
seq,1000000,670000,Delete,49,59
seq,1000000,670000,Traversal,9439063,8642794
seq,1000000,690000,Lookup,42,41
seq,1000000,690000,Delete,49,59
seq,1000000,690000,Traversal,8752704,7596653
seq,1000000,710000,Lookup,42,40
seq,1000000,710000,Delete,49,59
seq,1000000,710000,Traversal,8122590,7332011
seq,1000000,730000,Lookup,42,41
seq,1000000,730000,Delete,49,59
seq,1000000,730000,Traversal,7860372,6663505
seq,1000000,750000,Lookup,42,40
seq,1000000,750000,Delete,49,59
seq,1000000,750000,Traversal,7061428,5132505
seq,1000000,770000,Lookup,42,41
seq,1000000,770000,Delete,49,59
seq,1000000,770000,Traversal,6691568,4938857
seq,1000000,790000,Lookup,42,40
seq,1000000,790000,Delete,49,59
seq,1000000,790000,Traversal,6076603,3728955
seq,1000000,810000,Lookup,42,40
seq,1000000,810000,Delete,49,59
seq,1000000,810000,Traversal,5471196,2686831
seq,1000000,830000,Lookup,42,41
seq,1000000,830000,Delete,49,59
seq,1000000,830000,Traversal,4900885,2233161
seq,1000000,850000,Lookup,42,40
seq,1000000,850000,Delete,49,59
seq,1000000,850000,Traversal,4258578,1679332
seq,1000000,870000,Lookup,42,40
seq,1000000,870000,Delete,49,59
