Ratio,Run,Phase,Tree,Metric,Value_ns
10,24,Traversal,WAVL Tree,Latency,124636
10,25,Insert,RB Tree,Latency,107
10,25,Insert,WAVL Tree,Latency,127
10,25,Lookup,RB Tree,Latency,95
10,25,Lookup,WAVL Tree,Latency,97
10,25,Delete,RB Tree,Latency,54
10,25,Delete,WAVL Tree,Latency,65
10,25,Traversal,RB Tree,Latency,127411
10,25,Traversal,WAVL Tree,Latency,123685
10,26,Insert,RB Tree,Latency,108
10,26,Insert,WAVL Tree,Latency,126
10,26,Lookup,RB Tree,Latency,97
10,26,Lookup,WAVL Tree,Latency,98
10,26,Delete,RB Tree,Latency,54
10,26,Delete,WAVL Tree,Latency,62
10,26,Traversal,RB Tree,Latency,127031
10,26,Traversal,WAVL Tree,Latency,122502
10,27,Insert,RB Tree,Latency,108
10,27,Insert,WAVL Tree,Latency,127
10,27,Lookup,RB Tree,Latency,98
10,27,Lookup,WAVL Tree,Latency,100
10,27,Delete,RB Tree,Latency,55
10,27,Delete,WAVL Tree,Latency,63
10,27,Traversal,RB Tree,Latency,138292
10,27,Traversal,WAVL Tree,Latency,123705
10,28,Insert,RB Tree,Latency,108
10,28,Insert,WAVL Tree,Latency,127
10,28,Lookup,RB Tree,Latency,95
10,28,Lookup,WAVL Tree,Latency,97
10,28,Delete,RB Tree,Latency,54
10,28,Delete,WAVL Tree,Latency,62
10,28,Traversal,RB Tree,Latency,128153
10,28,Traversal,WAVL Tree,Latency,123605
10,29,Insert,RB Tree,Latency,109
10,29,Insert,WAVL Tree,Latency,125
10,29,Lookup,RB Tree,Latency,96
10,29,Lookup,WAVL Tree,Latency,98
10,29,Delete,RB Tree,Latency,58
10,29,Delete,WAVL Tree,Latency,63
10,29,Traversal,RB Tree,Latency,127993
10,29,Traversal,WAVL Tree,Latency,123404
10,30,Insert,RB Tree,Latency,107
10,30,Insert,WAVL Tree,Latency,126
10,30,Lookup,RB Tree,Latency,95
10,30,Lookup,WAVL Tree,Latency,97
10,30,Delete,RB Tree,Latency,53
10,30,Delete,WAVL Tree,Latency,62
10,30,Traversal,RB Tree,Latency,129405
10,30,Traversal,WAVL Tree,Latency,125007
10,31,Insert,RB Tree,Latency,112
10,31,Insert,WAVL Tree,Latency,131
10,31,Lookup,RB Tree,Latency,98
10,31,Lookup,WAVL Tree,Latency,102
10,31,Delete,RB Tree,Latency,56
10,31,Delete,WAVL Tree,Latency,64
10,31,Traversal,RB Tree,Latency,126420
10,31,Traversal,WAVL Tree,Latency,122662
10,32,Insert,RB Tree,Latency,109
10,32,Insert,WAVL Tree,Latency,127
10,32,Lookup,RB Tree,Latency,96
10,32,Lookup,WAVL Tree,Latency,97
10,32,Delete,RB Tree,Latency,54
10,32,Delete,WAVL Tree,Latency,62
10,32,Traversal,RB Tree,Latency,127692
10,32,Traversal,WAVL Tree,Latency,122463
10,33,Insert,RB Tree,Latency,108
10,33,Insert,WAVL Tree,Latency,125
