Ratio,Run,Phase,Tree,Metric,Value
10,41,Delete,RB Tree,Rotations,294
10,41,Delete,WAVL Tree,Rotations,262
10,41,Delete,RB Tree,Path,284
10,41,Delete,WAVL Tree,Path,300
10,42,Insert,RB Tree,Rotations,5792
10,42,Insert,WAVL Tree,Rotations,6833
10,42,Insert,RB Tree,Path,10278
10,42,Insert,WAVL Tree,Path,17702
10,42,Delete,RB Tree,Rotations,338
10,42,Delete,WAVL Tree,Rotations,311
10,42,Delete,RB Tree,Path,319
10,42,Delete,WAVL Tree,Path,283
10,43,Insert,RB Tree,Rotations,5821
10,43,Insert,WAVL Tree,Rotations,6831
10,43,Insert,RB Tree,Path,10190
10,43,Insert,WAVL Tree,Path,17760
10,43,Delete,RB Tree,Rotations,292
10,43,Delete,WAVL Tree,Rotations,302
10,43,Delete,RB Tree,Path,289
10,43,Delete,WAVL Tree,Path,306
10,44,Insert,RB Tree,Rotations,5755
10,44,Insert,WAVL Tree,Rotations,6901
10,44,Insert,RB Tree,Path,10282
10,44,Insert,WAVL Tree,Path,17840
10,44,Delete,RB Tree,Rotations,327
10,44,Delete,WAVL Tree,Rotations,302
10,44,Delete,RB Tree,Path,303
10,44,Delete,WAVL Tree,Path,295
10,45,Insert,RB Tree,Rotations,5750
10,45,Insert,WAVL Tree,Rotations,6881
10,45,Insert,RB Tree,Path,10376
10,45,Insert,WAVL Tree,Path,17921
10,45,Delete,RB Tree,Rotations,304
10,45,Delete,WAVL Tree,Rotations,328
10,45,Delete,RB Tree,Path,275
10,45,Delete,WAVL Tree,Path,307
10,46,Insert,RB Tree,Rotations,5887
10,46,Insert,WAVL Tree,Rotations,7029
10,46,Insert,RB Tree,Path,10250
10,46,Insert,WAVL Tree,Path,17829
10,46,Delete,RB Tree,Rotations,309
10,46,Delete,WAVL Tree,Rotations,301
10,46,Delete,RB Tree,Path,279
10,46,Delete,WAVL Tree,Path,305
10,47,Insert,RB Tree,Rotations,5806
10,47,Insert,WAVL Tree,Rotations,6961
10,47,Insert,RB Tree,Path,10260
10,47,Insert,WAVL Tree,Path,17747
10,47,Delete,RB Tree,Rotations,311
10,47,Delete,WAVL Tree,Rotations,276
10,47,Delete,RB Tree,Path,308
10,47,Delete,WAVL Tree,Path,301
10,48,Insert,RB Tree,Rotations,5809
10,48,Insert,WAVL Tree,Rotations,6797
10,48,Insert,RB Tree,Path,10252
10,48,Insert,WAVL Tree,Path,17828
10,48,Delete,RB Tree,Rotations,338
10,48,Delete,WAVL Tree,Rotations,262
10,48,Delete,RB Tree,Path,322
10,48,Delete,WAVL Tree,Path,290
10,49,Insert,RB Tree,Rotations,5846
10,49,Insert,WAVL Tree,Rotations,7044
10,49,Insert,RB Tree,Path,10270
10,49,Insert,WAVL Tree,Path,17856
10,49,Delete,RB Tree,Rotations,307
10,49,Delete,WAVL Tree,Rotations,284
10,49,Delete,RB Tree,Path,292
10,49,Delete,WAVL Tree,Path,278
10,50,Insert,RB Tree,Rotations,5859
10,50,Insert,WAVL Tree,Rotations,7157
10,50,Insert,RB Tree,Path,10310
10,50,Insert,WAVL Tree,Path,17908
10,50,Delete,RB Tree,Rotations,335
10,50,Delete,WAVL Tree,Rotations,314
10,50,Delete,RB Tree,Path,310
10,50,Delete,WAVL Tree,Path,298
20,1,Insert,RB Tree,Rotations,5880
20,1,Insert,WAVL Tree,Rotations,7015
20,1,Insert,RB Tree,Path,10210
20,1,Insert,WAVL Tree,Path,17867
20,1,Delete,RB Tree,Rotations,629
20,1,Delete,WAVL Tree,Rotations,616
20,1,Delete,RB Tree,Path,697
20,1,Delete,WAVL Tree,Path,728
20,2,Insert,RB Tree,Rotations,5885
20,2,Insert,WAVL Tree,Rotations,7009
20,2,Insert,RB Tree,Path,10288
20,2,Insert,WAVL Tree,Path,17917
20,2,Delete,RB Tree,Rotations,682
20,2,Delete,WAVL Tree,Rotations,638
20,2,Delete,RB Tree,Path,738
20,2,Delete,WAVL Tree,Path,736
20,3,Insert,RB Tree,Rotations,5843
20,3,Insert,WAVL Tree,Rotations,6957
20,3,Insert,RB Tree,Path,10262
20,3,Insert,WAVL Tree,Path,17827
20,3,Delete,RB Tree,Rotations,679
20,3,Delete,WAVL Tree,Rotations,601
20,3,Delete,RB Tree,Path,719
20,3,Delete,WAVL Tree,Path,718
20,4,Insert,RB Tree,Rotations,5838
20,4,Insert,WAVL Tree,Rotations,7008
20,4,Insert,RB Tree,Path,10116
20,4,Insert,WAVL Tree,Path,17864
20,4,Delete,RB Tree,Rotations,619
20,4,Delete,WAVL Tree,Rotations,580
20,4,Delete,RB Tree,Path,683
20,4,Delete,WAVL Tree,Path,737
20,5,Insert,RB Tree,Rotations,5818
20,5,Insert,WAVL Tree,Rotations,7044
20,5,Insert,RB Tree,Path,10184
20,5,Insert,WAVL Tree,Path,17859
20,5,Delete,RB Tree,Rotations,694
20,5,Delete,WAVL Tree,Rotations,632
20,5,Delete,RB Tree,Path,720
20,5,Delete,WAVL Tree,Path,721
20,6,Insert,RB Tree,Rotations,5843
20,6,Insert,WAVL Tree,Rotations,7090
20,6,Insert,RB Tree,Path,10394
20,6,Insert,WAVL Tree,Path,17864
20,6,Delete,RB Tree,Rotations,620
20,6,Delete,WAVL Tree,Rotations,595
20,6,Delete,RB Tree,Path,714
20,6,Delete,WAVL Tree,Path,739
20,7,Insert,RB Tree,Rotations,5863
20,7,Insert,WAVL Tree,Rotations,7033
20,7,Insert,RB Tree,Path,10174
20,7,Insert,WAVL Tree,Path,17809
20,7,Delete,RB Tree,Rotations,592
20,7,Delete,WAVL Tree,Rotations,594
20,7,Delete,RB Tree,Path,668
20,7,Delete,WAVL Tree,Path,723
20,8,Insert,RB Tree,Rotations,5857
20,8,Insert,WAVL Tree,Rotations,7033
20,8,Insert,RB Tree,Path,10126
20,8,Insert,WAVL Tree,Path,17859
20,8,Delete,RB Tree,Rotations,677
20,8,Delete,WAVL Tree,Rotations,633
20,8,Delete,RB Tree,Path,725
20,8,Delete,WAVL Tree,Path,754
20,9,Insert,RB Tree,Rotations,5813
20,9,Insert,WAVL Tree,Rotations,6921
20,9,Insert,RB Tree,Path,10318
20,9,Insert,WAVL Tree,Path,17814
20,9,Delete,RB Tree,Rotations,725
20,9,Delete,WAVL Tree,Rotations,649
20,9,Delete,RB Tree,Path,757
20,9,Delete,WAVL Tree,Path,720
20,10,Insert,RB Tree,Rotations,5818
20,10,Insert,WAVL Tree,Rotations,6921
20,10,Insert,RB Tree,Path,10168
20,10,Insert,WAVL Tree,Path,17802
20,10,Delete,RB Tree,Rotations,663
20,10,Delete,WAVL Tree,Rotations,653
20,10,Delete,RB Tree,Path,704
20,10,Delete,WAVL Tree,Path,710
20,11,Insert,RB Tree,Rotations,5802
20,11,Insert,WAVL Tree,Rotations,6989
20,11,Insert,RB Tree,Path,10188
20,11,Insert,WAVL Tree,Path,17871
20,11,Delete,RB Tree,Rotations,682
20,11,Delete,WAVL Tree,Rotations,669
20,11,Delete,RB Tree,Path,727
20,11,Delete,WAVL Tree,Path,745
20,12,Insert,RB Tree,Rotations,5755
20,12,Insert,WAVL Tree,Rotations,6991
20,12,Insert,RB Tree,Path,10246
20,12,Insert,WAVL Tree,Path,17778
20,12,Delete,RB Tree,Rotations,630
20,12,Delete,WAVL Tree,Rotations,631
20,12,Delete,RB Tree,Path,695
20,12,Delete,WAVL Tree,Path,727
20,13,Insert,RB Tree,Rotations,5764
20,13,Insert,WAVL Tree,Rotations,6869
20,13,Insert,RB Tree,Path,10210
20,13,Insert,WAVL Tree,Path,17802
20,13,Delete,RB Tree,Rotations,699
20,13,Delete,WAVL Tree,Rotations,637
20,13,Delete,RB Tree,Path,734
20,13,Delete,WAVL Tree,Path,752
20,14,Insert,RB Tree,Rotations,5842
20,14,Insert,WAVL Tree,Rotations,7095
20,14,Insert,RB Tree,Path,10216
20,14,Insert,WAVL Tree,Path,17936
20,14,Delete,RB Tree,Rotations,682
20,14,Delete,WAVL Tree,Rotations,621
20,14,Delete,RB Tree,Path,735
20,14,Delete,WAVL Tree,Path,695
20,15,Insert,RB Tree,Rotations,5803
20,15,Insert,WAVL Tree,Rotations,7001
20,15,Insert,RB Tree,Path,10288
20,15,Insert,WAVL Tree,Path,17827
20,15,Delete,RB Tree,Rotations,660
20,15,Delete,WAVL Tree,Rotations,634
20,15,Delete,RB Tree,Path,720
20,15,Delete,WAVL Tree,Path,727
20,16,Insert,RB Tree,Rotations,5741
20,16,Insert,WAVL Tree,Rotations,6994
20,16,Insert,RB Tree,Path,10222
20,16,Insert,WAVL Tree,Path,17860
20,16,Delete,RB Tree,Rotations,672
20,16,Delete,WAVL Tree,Rotations,657
20,16,Delete,RB Tree,Path,724
20,16,Delete,WAVL Tree,Path,732
20,17,Insert,RB Tree,Rotations,5844
20,17,Insert,WAVL Tree,Rotations,6970
20,17,Insert,RB Tree,Path,10330
20,17,Insert,WAVL Tree,Path,17770
20,17,Delete,RB Tree,Rotations,680
20,17,Delete,WAVL Tree,Rotations,651
20,17,Delete,RB Tree,Path,751
20,17,Delete,WAVL Tree,Path,731
20,18,Insert,RB Tree,Rotations,5874
20,18,Insert,WAVL Tree,Rotations,7084
20,18,Insert,RB Tree,Path,10230
20,18,Insert,WAVL Tree,Path,17950
20,18,Delete,RB Tree,Rotations,643
20,18,Delete,WAVL Tree,Rotations,674
20,18,Delete,RB Tree,Path,738
20,18,Delete,WAVL Tree,Path,741
20,19,Insert,RB Tree,Rotations,5848
20,19,Insert,WAVL Tree,Rotations,6930
20,19,Insert,RB Tree,Path,10148
20,19,Insert,WAVL Tree,Path,17778
20,19,Delete,RB Tree,Rotations,656
20,19,Delete,WAVL Tree,Rotations,636
20,19,Delete,RB Tree,Path,715
20,19,Delete,WAVL Tree,Path,744
20,20,Insert,RB Tree,Rotations,5846
20,20,Insert,WAVL Tree,Rotations,6931
20,20,Insert,RB Tree,Path,10198
20,20,Insert,WAVL Tree,Path,17776
20,20,Delete,RB Tree,Rotations,704
20,20,Delete,WAVL Tree,Rotations,625
20,20,Delete,RB Tree,Path,735
20,20,Delete,WAVL Tree,Path,733
20,21,Insert,RB Tree,Rotations,5732
20,21,Insert,WAVL Tree,Rotations,6942
20,21,Insert,RB Tree,Path,10208
20,21,Insert,WAVL Tree,Path,17854
20,21,Delete,RB Tree,Rotations,637
20,21,Delete,WAVL Tree,Rotations,645
20,21,Delete,RB Tree,Path,713
20,21,Delete,WAVL Tree,Path,722
20,22,Insert,RB Tree,Rotations,5761
20,22,Insert,WAVL Tree,Rotations,6982
20,22,Insert,RB Tree,Path,10246
20,22,Insert,WAVL Tree,Path,17860
20,22,Delete,RB Tree,Rotations,633
20,22,Delete,WAVL Tree,Rotations,576
20,22,Delete,RB Tree,Path,700
20,22,Delete,WAVL Tree,Path,757
20,23,Insert,RB Tree,Rotations,5862
20,23,Insert,WAVL Tree,Rotations,7085
20,23,Insert,RB Tree,Path,10202
20,23,Insert,WAVL Tree,Path,17837
20,23,Delete,RB Tree,Rotations,625
20,23,Delete,WAVL Tree,Rotations,621
20,23,Delete,RB Tree,Path,687
20,23,Delete,WAVL Tree,Path,769
