Ratio,Run,Tree,Metric,Value
20,3,WAVL Tree,Branch Misses,345550
20,4,RB Tree,L1 Misses,150516
20,4,RB Tree,Branch Misses,325068
20,4,WAVL Tree,L1 Misses,152898
20,4,WAVL Tree,Branch Misses,344884
20,5,RB Tree,L1 Misses,150936
20,5,RB Tree,Branch Misses,325639
20,5,WAVL Tree,L1 Misses,151753
20,5,WAVL Tree,Branch Misses,345552
20,6,RB Tree,L1 Misses,149889
20,6,RB Tree,Branch Misses,321590
20,6,WAVL Tree,L1 Misses,152094
20,6,WAVL Tree,Branch Misses,345833
20,7,RB Tree,L1 Misses,150714
20,7,RB Tree,Branch Misses,325650
20,7,WAVL Tree,L1 Misses,152297
20,7,WAVL Tree,Branch Misses,345669
20,8,RB Tree,L1 Misses,148078
20,8,RB Tree,Branch Misses,320822
20,8,WAVL Tree,L1 Misses,152955
20,8,WAVL Tree,Branch Misses,347516
20,9,RB Tree,L1 Misses,149130
20,9,RB Tree,Branch Misses,321159
20,9,WAVL Tree,L1 Misses,160778
20,9,WAVL Tree,Branch Misses,349935
20,10,RB Tree,L1 Misses,147512
20,10,RB Tree,Branch Misses,321035
20,10,WAVL Tree,L1 Misses,153494
20,10,WAVL Tree,Branch Misses,348098
20,11,RB Tree,L1 Misses,148772
20,11,RB Tree,Branch Misses,321801
20,11,WAVL Tree,L1 Misses,152452
20,11,WAVL Tree,Branch Misses,349102
20,12,RB Tree,L1 Misses,151028
20,12,RB Tree,Branch Misses,324863
20,12,WAVL Tree,L1 Misses,151497
20,12,WAVL Tree,Branch Misses,345443
20,13,RB Tree,L1 Misses,149120
20,13,RB Tree,Branch Misses,321538
20,13,WAVL Tree,L1 Misses,152205
20,13,WAVL Tree,Branch Misses,348043
20,14,RB Tree,L1 Misses,148830
20,14,RB Tree,Branch Misses,320949
20,14,WAVL Tree,L1 Misses,154835
20,14,WAVL Tree,Branch Misses,345797
20,15,RB Tree,L1 Misses,149899
20,15,RB Tree,Branch Misses,325561
20,15,WAVL Tree,L1 Misses,153039
20,15,WAVL Tree,Branch Misses,350171
20,16,RB Tree,L1 Misses,149330
20,16,RB Tree,Branch Misses,325353
20,16,WAVL Tree,L1 Misses,152475
20,16,WAVL Tree,Branch Misses,345964
20,17,RB Tree,L1 Misses,147824
20,17,RB Tree,Branch Misses,320655
20,17,WAVL Tree,L1 Misses,152439
20,17,WAVL Tree,Branch Misses,348342
20,18,RB Tree,L1 Misses,150030
20,18,RB Tree,Branch Misses,325483
20,18,WAVL Tree,L1 Misses,152158
20,18,WAVL Tree,Branch Misses,345666
20,19,RB Tree,L1 Misses,149439
20,19,RB Tree,Branch Misses,321134
20,19,WAVL Tree,L1 Misses,153528
20,19,WAVL Tree,Branch Misses,348197
20,20,RB Tree,L1 Misses,149053
20,20,RB Tree,Branch Misses,320900
20,20,WAVL Tree,L1 Misses,153133
20,20,WAVL Tree,Branch Misses,348793
20,21,RB Tree,L1 Misses,150620
20,21,RB Tree,Branch Misses,324399
20,21,WAVL Tree,L1 Misses,154787
20,21,WAVL Tree,Branch Misses,349728
20,22,RB Tree,L1 Misses,148664
20,22,RB Tree,Branch Misses,320620
20,22,WAVL Tree,L1 Misses,151647
20,22,WAVL Tree,Branch Misses,345348
20,23,RB Tree,L1 Misses,147857
20,23,RB Tree,Branch Misses,321604
20,23,WAVL Tree,L1 Misses,153769
20,23,WAVL Tree,Branch Misses,350248
20,24,RB Tree,L1 Misses,147418
20,24,RB Tree,Branch Misses,320967
20,24,WAVL Tree,L1 Misses,153343
20,24,WAVL Tree,Branch Misses,349681
20,25,RB Tree,L1 Misses,150744
20,25,RB Tree,Branch Misses,321130
20,25,WAVL Tree,L1 Misses,151632
20,25,WAVL Tree,Branch Misses,346034
20,26,RB Tree,L1 Misses,150420
20,26,RB Tree,Branch Misses,324539
20,26,WAVL Tree,L1 Misses,152525
20,26,WAVL Tree,Branch Misses,345791
20,27,RB Tree,L1 Misses,151975
20,27,RB Tree,Branch Misses,325699
20,27,WAVL Tree,L1 Misses,153138
20,27,WAVL Tree,Branch Misses,345136
20,28,RB Tree,L1 Misses,151851
20,28,RB Tree,Branch Misses,325003
20,28,WAVL Tree,L1 Misses,152469
20,28,WAVL Tree,Branch Misses,345555
20,29,RB Tree,L1 Misses,149941
20,29,RB Tree,Branch Misses,325721
20,29,WAVL Tree,L1 Misses,154058
20,29,WAVL Tree,Branch Misses,347516
20,30,RB Tree,L1 Misses,148146
20,30,RB Tree,Branch Misses,321484
20,30,WAVL Tree,L1 Misses,154642
20,30,WAVL Tree,Branch Misses,350256
20,31,RB Tree,L1 Misses,148868
20,31,RB Tree,Branch Misses,321262
20,31,WAVL Tree,L1 Misses,153000
20,31,WAVL Tree,Branch Misses,349532
20,32,RB Tree,L1 Misses,147796
20,32,RB Tree,Branch Misses,320601
20,32,WAVL Tree,L1 Misses,153527
20,32,WAVL Tree,Branch Misses,349776
20,33,RB Tree,L1 Misses,158694
20,33,RB Tree,Branch Misses,321613
20,33,WAVL Tree,L1 Misses,152797
20,33,WAVL Tree,Branch Misses,349895
20,34,RB Tree,L1 Misses,149223
20,34,RB Tree,Branch Misses,320658
20,34,WAVL Tree,L1 Misses,153752
20,34,WAVL Tree,Branch Misses,350502
20,35,RB Tree,L1 Misses,150067
20,35,RB Tree,Branch Misses,320944
20,35,WAVL Tree,L1 Misses,152041
20,35,WAVL Tree,Branch Misses,344923
20,36,RB Tree,L1 Misses,149312
20,36,RB Tree,Branch Misses,322426
20,36,WAVL Tree,L1 Misses,153409
20,36,WAVL Tree,Branch Misses,345153
20,37,RB Tree,L1 Misses,149512
20,37,RB Tree,Branch Misses,324675
20,37,WAVL Tree,L1 Misses,152074
20,37,WAVL Tree,Branch Misses,344993
20,38,RB Tree,L1 Misses,150620
20,38,RB Tree,Branch Misses,325664
20,38,WAVL Tree,L1 Misses,151620
20,38,WAVL Tree,Branch Misses,345361
20,39,RB Tree,L1 Misses,149953
20,39,RB Tree,Branch Misses,324919
20,39,WAVL Tree,L1 Misses,158356
20,39,WAVL Tree,Branch Misses,349587
20,40,RB Tree,L1 Misses,149113
20,40,RB Tree,Branch Misses,321080
20,40,WAVL Tree,L1 Misses,155693
20,40,WAVL Tree,Branch Misses,350581
20,41,RB Tree,L1 Misses,149831
20,41,RB Tree,Branch Misses,321319
20,41,WAVL Tree,L1 Misses,152682
20,41,WAVL Tree,Branch Misses,346089
20,42,RB Tree,L1 Misses,152866
20,42,RB Tree,Branch Misses,323594
20,42,WAVL Tree,L1 Misses,154061
20,42,WAVL Tree,Branch Misses,344883
20,43,RB Tree,L1 Misses,150130
20,43,RB Tree,Branch Misses,324116
20,43,WAVL Tree,L1 Misses,152786
20,43,WAVL Tree,Branch Misses,345326
20,44,RB Tree,L1 Misses,150271
20,44,RB Tree,Branch Misses,325025
20,44,WAVL Tree,L1 Misses,152833
20,44,WAVL Tree,Branch Misses,346061
20,45,RB Tree,L1 Misses,149763
20,45,RB Tree,Branch Misses,325526
20,45,WAVL Tree,L1 Misses,151857
20,45,WAVL Tree,Branch Misses,346296
20,46,RB Tree,L1 Misses,148583
20,46,RB Tree,Branch Misses,320580
20,46,WAVL Tree,L1 Misses,154087
20,46,WAVL Tree,Branch Misses,348669
20,47,RB Tree,L1 Misses,147530
20,47,RB Tree,Branch Misses,320696
20,47,WAVL Tree,L1 Misses,156578
20,47,WAVL Tree,Branch Misses,349078
20,48,RB Tree,L1 Misses,149066
20,48,RB Tree,Branch Misses,320852
20,48,WAVL Tree,L1 Misses,153366
20,48,WAVL Tree,Branch Misses,348667
20,49,RB Tree,L1 Misses,152368
20,49,RB Tree,Branch Misses,321022
20,49,WAVL Tree,L1 Misses,153383
20,49,WAVL Tree,Branch Misses,349500
20,50,RB Tree,L1 Misses,148997
20,50,RB Tree,Branch Misses,321067
20,50,WAVL Tree,L1 Misses,154031
20,50,WAVL Tree,Branch Misses,349597
30,1,RB Tree,L1 Misses,157627
30,1,RB Tree,Branch Misses,339844
30,1,WAVL Tree,L1 Misses,163662
30,1,WAVL Tree,Branch Misses,369451
30,2,RB Tree,L1 Misses,158265
30,2,RB Tree,Branch Misses,340396
30,2,WAVL Tree,L1 Misses,162668
30,2,WAVL Tree,Branch Misses,369004
30,3,RB Tree,L1 Misses,157557
30,3,RB Tree,Branch Misses,339505
30,3,WAVL Tree,L1 Misses,164625
30,3,WAVL Tree,Branch Misses,366656
30,4,RB Tree,L1 Misses,159075
30,4,RB Tree,Branch Misses,343642
30,4,WAVL Tree,L1 Misses,163024
30,4,WAVL Tree,Branch Misses,366209
30,5,RB Tree,L1 Misses,158628
30,5,RB Tree,Branch Misses,343985
30,5,WAVL Tree,L1 Misses,160363
30,5,WAVL Tree,Branch Misses,365935
30,6,RB Tree,L1 Misses,157407
30,6,RB Tree,Branch Misses,340814
30,6,WAVL Tree,L1 Misses,163255
30,6,WAVL Tree,Branch Misses,368600
30,7,RB Tree,L1 Misses,157144
30,7,RB Tree,Branch Misses,340025
30,7,WAVL Tree,L1 Misses,162678
30,7,WAVL Tree,Branch Misses,370421
30,8,RB Tree,L1 Misses,158303
30,8,RB Tree,Branch Misses,340535
30,8,WAVL Tree,L1 Misses,162421
30,8,WAVL Tree,Branch Misses,369553
30,9,RB Tree,L1 Misses,158545
30,9,RB Tree,Branch Misses,339768
30,9,WAVL Tree,L1 Misses,162320
30,9,WAVL Tree,Branch Misses,370164
30,10,RB Tree,L1 Misses,156893
30,10,RB Tree,Branch Misses,339441
30,10,WAVL Tree,L1 Misses,162550
30,10,WAVL Tree,Branch Misses,370672
30,11,RB Tree,L1 Misses,156812
30,11,RB Tree,Branch Misses,340203
30,11,WAVL Tree,L1 Misses,160063
30,11,WAVL Tree,Branch Misses,365510
30,12,RB Tree,L1 Misses,157695
30,12,RB Tree,Branch Misses,342198
30,12,WAVL Tree,L1 Misses,163150
30,12,WAVL Tree,Branch Misses,365262
30,13,RB Tree,L1 Misses,158392
30,13,RB Tree,Branch Misses,343771
30,13,WAVL Tree,L1 Misses,162371
30,13,WAVL Tree,Branch Misses,366305
30,14,RB Tree,L1 Misses,159665
30,14,RB Tree,Branch Misses,343961
30,14,WAVL Tree,L1 Misses,162532
30,14,WAVL Tree,Branch Misses,365631
30,15,RB Tree,L1 Misses,158564
30,15,RB Tree,Branch Misses,343604
30,15,WAVL Tree,L1 Misses,162357
30,15,WAVL Tree,Branch Misses,365855
30,16,RB Tree,L1 Misses,158595
30,16,RB Tree,Branch Misses,343699
30,16,WAVL Tree,L1 Misses,162241
30,16,WAVL Tree,Branch Misses,366236
30,17,RB Tree,L1 Misses,157989
30,17,RB Tree,Branch Misses,340049
30,17,WAVL Tree,L1 Misses,161311
30,17,WAVL Tree,Branch Misses,367902
30,18,RB Tree,L1 Misses,156548
30,18,RB Tree,Branch Misses,339581
30,18,WAVL Tree,L1 Misses,163014
30,18,WAVL Tree,Branch Misses,369232
30,19,RB Tree,L1 Misses,158466
30,19,RB Tree,Branch Misses,339825
