PoolSize,Run,Tree,Metric,Value
100000,7,WAVL Tree,Branch Misses,3463285
100000,8,RB Tree,L1 Misses,2408478
100000,8,RB Tree,Branch Misses,3203330
100000,8,WAVL Tree,L1 Misses,2431821
100000,8,WAVL Tree,Branch Misses,3469213
100000,9,RB Tree,L1 Misses,2405646
100000,9,RB Tree,Branch Misses,3207214
100000,9,WAVL Tree,L1 Misses,2434668
100000,9,WAVL Tree,Branch Misses,3467461
100000,10,RB Tree,L1 Misses,2408797
100000,10,RB Tree,Branch Misses,3203474
100000,10,WAVL Tree,L1 Misses,2438683
100000,10,WAVL Tree,Branch Misses,3468965
100000,11,RB Tree,L1 Misses,2416546
100000,11,RB Tree,Branch Misses,3205606
100000,11,WAVL Tree,L1 Misses,2476934
100000,11,WAVL Tree,Branch Misses,3463400
100000,12,RB Tree,L1 Misses,2401041
100000,12,RB Tree,Branch Misses,3204900
100000,12,WAVL Tree,L1 Misses,2430939
100000,12,WAVL Tree,Branch Misses,3470108
100000,13,RB Tree,L1 Misses,2415573
100000,13,RB Tree,Branch Misses,3201000
100000,13,WAVL Tree,L1 Misses,2451061
100000,13,WAVL Tree,Branch Misses,3469363
100000,14,RB Tree,L1 Misses,2413186
100000,14,RB Tree,Branch Misses,3199904
100000,14,WAVL Tree,L1 Misses,2434077
100000,14,WAVL Tree,Branch Misses,3470521
100000,15,RB Tree,L1 Misses,2406867
100000,15,RB Tree,Branch Misses,3198764
100000,15,WAVL Tree,L1 Misses,2443930
100000,15,WAVL Tree,Branch Misses,3464039
100000,16,RB Tree,L1 Misses,2404292
100000,16,RB Tree,Branch Misses,3201176
100000,16,WAVL Tree,L1 Misses,2449061
100000,16,WAVL Tree,Branch Misses,3469502
100000,17,RB Tree,L1 Misses,2409537
100000,17,RB Tree,Branch Misses,3207248
100000,17,WAVL Tree,L1 Misses,2446381
100000,17,WAVL Tree,Branch Misses,3471611
100000,18,RB Tree,L1 Misses,2419096
100000,18,RB Tree,Branch Misses,3199917
100000,18,WAVL Tree,L1 Misses,2445771
100000,18,WAVL Tree,Branch Misses,3467343
100000,19,RB Tree,L1 Misses,2400417
100000,19,RB Tree,Branch Misses,3204597
100000,19,WAVL Tree,L1 Misses,2448611
100000,19,WAVL Tree,Branch Misses,3468506
100000,20,RB Tree,L1 Misses,2489034
100000,20,RB Tree,Branch Misses,3206970
100000,20,WAVL Tree,L1 Misses,2480672
100000,20,WAVL Tree,Branch Misses,3466755
250000,1,RB Tree,L1 Misses,4283826
250000,1,RB Tree,Branch Misses,5047056
250000,1,WAVL Tree,L1 Misses,4217648
250000,1,WAVL Tree,Branch Misses,5429094
250000,2,RB Tree,L1 Misses,4099154
250000,2,RB Tree,Branch Misses,5040461
250000,2,WAVL Tree,L1 Misses,4192110
250000,2,WAVL Tree,Branch Misses,5426272
250000,3,RB Tree,L1 Misses,4139805
250000,3,RB Tree,Branch Misses,5042349
250000,3,WAVL Tree,L1 Misses,4176767
250000,3,WAVL Tree,Branch Misses,5423871
250000,4,RB Tree,L1 Misses,4097745
250000,4,RB Tree,Branch Misses,5038286
250000,4,WAVL Tree,L1 Misses,4185785
250000,4,WAVL Tree,Branch Misses,5427318
250000,5,RB Tree,L1 Misses,4078112
250000,5,RB Tree,Branch Misses,5044483
250000,5,WAVL Tree,L1 Misses,4187442
250000,5,WAVL Tree,Branch Misses,5427337
250000,6,RB Tree,L1 Misses,4098130
250000,6,RB Tree,Branch Misses,5039938
250000,6,WAVL Tree,L1 Misses,4169916
250000,6,WAVL Tree,Branch Misses,5426367
250000,7,RB Tree,L1 Misses,4106303
250000,7,RB Tree,Branch Misses,5041654
250000,7,WAVL Tree,L1 Misses,4207750
250000,7,WAVL Tree,Branch Misses,5423137
250000,8,RB Tree,L1 Misses,4165786
250000,8,RB Tree,Branch Misses,5040639
250000,8,WAVL Tree,L1 Misses,4241657
250000,8,WAVL Tree,Branch Misses,5422122
250000,9,RB Tree,L1 Misses,4108461
250000,9,RB Tree,Branch Misses,5038702
250000,9,WAVL Tree,L1 Misses,4188731
250000,9,WAVL Tree,Branch Misses,5429279
250000,10,RB Tree,L1 Misses,4120398
250000,10,RB Tree,Branch Misses,5043534
250000,10,WAVL Tree,L1 Misses,4186174
250000,10,WAVL Tree,Branch Misses,5425531
250000,11,RB Tree,L1 Misses,4080074
250000,11,RB Tree,Branch Misses,5038482
250000,11,WAVL Tree,L1 Misses,4178970
250000,11,WAVL Tree,Branch Misses,5428874
250000,12,RB Tree,L1 Misses,4091964
250000,12,RB Tree,Branch Misses,5044663
250000,12,WAVL Tree,L1 Misses,4188370
250000,12,WAVL Tree,Branch Misses,5429298
250000,13,RB Tree,L1 Misses,4094411
250000,13,RB Tree,Branch Misses,5046266
250000,13,WAVL Tree,L1 Misses,4195453
250000,13,WAVL Tree,Branch Misses,5430893
250000,14,RB Tree,L1 Misses,4128532
250000,14,RB Tree,Branch Misses,5043018
250000,14,WAVL Tree,L1 Misses,4188563
250000,14,WAVL Tree,Branch Misses,5425066
250000,15,RB Tree,L1 Misses,4089795
250000,15,RB Tree,Branch Misses,5043767
250000,15,WAVL Tree,L1 Misses,4175338
250000,15,WAVL Tree,Branch Misses,5425436
250000,16,RB Tree,L1 Misses,4077573
250000,16,RB Tree,Branch Misses,5044478
250000,16,WAVL Tree,L1 Misses,4147814
250000,16,WAVL Tree,Branch Misses,5423417
250000,17,RB Tree,L1 Misses,4134306
250000,17,RB Tree,Branch Misses,5042333
250000,17,WAVL Tree,L1 Misses,4259998
250000,17,WAVL Tree,Branch Misses,5428154
250000,18,RB Tree,L1 Misses,4157119
250000,18,RB Tree,Branch Misses,5041740
250000,18,WAVL Tree,L1 Misses,4186991
250000,18,WAVL Tree,Branch Misses,5425641
250000,19,RB Tree,L1 Misses,4099983
250000,19,RB Tree,Branch Misses,5039632
250000,19,WAVL Tree,L1 Misses,4216263
250000,19,WAVL Tree,Branch Misses,5428361
250000,20,RB Tree,L1 Misses,4115368
250000,20,RB Tree,Branch Misses,5044629
250000,20,WAVL Tree,L1 Misses,4201729
250000,20,WAVL Tree,Branch Misses,5430709
500000,1,RB Tree,L1 Misses,7208358
500000,1,RB Tree,Branch Misses,8135413
500000,1,WAVL Tree,L1 Misses,7465094
500000,1,WAVL Tree,Branch Misses,8739105
500000,2,RB Tree,L1 Misses,7196800
500000,2,RB Tree,Branch Misses,8129870
500000,2,WAVL Tree,L1 Misses,7464001
500000,2,WAVL Tree,Branch Misses,8746825
500000,3,RB Tree,L1 Misses,7243212
500000,3,RB Tree,Branch Misses,8128639
500000,3,WAVL Tree,L1 Misses,7531571
500000,3,WAVL Tree,Branch Misses,8738143
500000,4,RB Tree,L1 Misses,7174122
500000,4,RB Tree,Branch Misses,8127973
500000,4,WAVL Tree,L1 Misses,7448527
500000,4,WAVL Tree,Branch Misses,8742134
500000,5,RB Tree,L1 Misses,7205406
500000,5,RB Tree,Branch Misses,8131230
500000,5,WAVL Tree,L1 Misses,7557073
500000,5,WAVL Tree,Branch Misses,8740829
500000,6,RB Tree,L1 Misses,7180187
500000,6,RB Tree,Branch Misses,8123975
500000,6,WAVL Tree,L1 Misses,7609190
500000,6,WAVL Tree,Branch Misses,8737749
500000,7,RB Tree,L1 Misses,7256380
500000,7,RB Tree,Branch Misses,8136172
500000,7,WAVL Tree,L1 Misses,7454215
500000,7,WAVL Tree,Branch Misses,8743942
500000,8,RB Tree,L1 Misses,7196873
500000,8,RB Tree,Branch Misses,8133648
