Mode,Ratio,Run,Tree,Metric,Value
seq,30,15,RB Tree,LLC Misses,
seq,30,15,RB Tree,Branch Misses,20859539
seq,30,15,WAVL Tree,L1 Misses,2669441
seq,30,15,WAVL Tree,Branch Misses,24038180
seq,30,16,RB Tree,L1 Misses,2780708
seq,30,16,RB Tree,LLC Misses,
seq,30,16,RB Tree,Branch Misses,20602962
seq,30,16,WAVL Tree,L1 Misses,2656514
seq,30,16,WAVL Tree,Branch Misses,24018167
seq,30,17,RB Tree,L1 Misses,2838658
seq,30,17,RB Tree,LLC Misses,
seq,30,17,RB Tree,Branch Misses,20834580
seq,30,17,WAVL Tree,L1 Misses,2657739
seq,30,17,WAVL Tree,Branch Misses,24019896
seq,30,18,RB Tree,L1 Misses,2759562
seq,30,18,RB Tree,LLC Misses,
seq,30,18,RB Tree,Branch Misses,20599994
seq,30,18,WAVL Tree,L1 Misses,2654718
seq,30,18,WAVL Tree,Branch Misses,24046931
seq,30,19,RB Tree,L1 Misses,2907249
seq,30,19,RB Tree,LLC Misses,
seq,30,19,RB Tree,Branch Misses,20809277
seq,30,19,WAVL Tree,L1 Misses,2650227
seq,30,19,WAVL Tree,Branch Misses,24033852
seq,30,20,RB Tree,L1 Misses,2860545
seq,30,20,RB Tree,LLC Misses,
seq,30,20,RB Tree,Branch Misses,20663858
seq,30,20,WAVL Tree,L1 Misses,2662099
seq,30,20,WAVL Tree,Branch Misses,24043779
seq,40,1,RB Tree,L1 Misses,2819201
seq,40,1,RB Tree,LLC Misses,
seq,40,1,RB Tree,Branch Misses,21715951
seq,40,1,WAVL Tree,L1 Misses,2658699
seq,40,1,WAVL Tree,Branch Misses,25301366
seq,40,2,RB Tree,L1 Misses,2807848
seq,40,2,RB Tree,LLC Misses,
seq,40,2,RB Tree,Branch Misses,21940279
seq,40,2,WAVL Tree,L1 Misses,2631833
seq,40,2,WAVL Tree,Branch Misses,25305644
seq,40,3,RB Tree,L1 Misses,2730296
seq,40,3,RB Tree,LLC Misses,
seq,40,3,RB Tree,Branch Misses,21982956
seq,40,3,WAVL Tree,L1 Misses,2646539
seq,40,3,WAVL Tree,Branch Misses,25306066
seq,40,4,RB Tree,L1 Misses,2802261
seq,40,4,RB Tree,LLC Misses,
seq,40,4,RB Tree,Branch Misses,21749714
seq,40,4,WAVL Tree,L1 Misses,2612304
seq,40,4,WAVL Tree,Branch Misses,25324651
seq,40,5,RB Tree,L1 Misses,2735430
seq,40,5,RB Tree,LLC Misses,
seq,40,5,RB Tree,Branch Misses,21735835
seq,40,5,WAVL Tree,L1 Misses,2664039
seq,40,5,WAVL Tree,Branch Misses,25328463
seq,40,6,RB Tree,L1 Misses,2933994
seq,40,6,RB Tree,LLC Misses,
seq,40,6,RB Tree,Branch Misses,21748502
seq,40,6,WAVL Tree,L1 Misses,2653099
seq,40,6,WAVL Tree,Branch Misses,25286214
seq,40,7,RB Tree,L1 Misses,2790246
seq,40,7,RB Tree,LLC Misses,
seq,40,7,RB Tree,Branch Misses,21941088
seq,40,7,WAVL Tree,L1 Misses,2623038
seq,40,7,WAVL Tree,Branch Misses,25336062
seq,40,8,RB Tree,L1 Misses,2793764
seq,40,8,RB Tree,LLC Misses,
seq,40,8,RB Tree,Branch Misses,21936408
seq,40,8,WAVL Tree,L1 Misses,2631973
seq,40,8,WAVL Tree,Branch Misses,25292436
seq,40,9,RB Tree,L1 Misses,2999528
seq,40,9,RB Tree,LLC Misses,
seq,40,9,RB Tree,Branch Misses,21740596
seq,40,9,WAVL Tree,L1 Misses,2636480
seq,40,9,WAVL Tree,Branch Misses,25307045
seq,40,10,RB Tree,L1 Misses,2950019
seq,40,10,RB Tree,LLC Misses,
seq,40,10,RB Tree,Branch Misses,21732017
seq,40,10,WAVL Tree,L1 Misses,2610756
seq,40,10,WAVL Tree,Branch Misses,25305761
seq,40,11,RB Tree,L1 Misses,2772632
seq,40,11,RB Tree,LLC Misses,
seq,40,11,RB Tree,Branch Misses,21781003
seq,40,11,WAVL Tree,L1 Misses,2605487
seq,40,11,WAVL Tree,Branch Misses,25326595
seq,40,12,RB Tree,L1 Misses,2784188
seq,40,12,RB Tree,LLC Misses,
seq,40,12,RB Tree,Branch Misses,21945945
seq,40,12,WAVL Tree,L1 Misses,2618214
seq,40,12,WAVL Tree,Branch Misses,25289098
