Run,Phase,Tree,Metric,Value
36,Insert,WAVL Tree,Rotations,703979
36,Insert,RB Tree,Path,1030728
36,Insert,WAVL Tree,Path,1790850
36,Delete,RB Tree,Rotations,183707
36,Delete,WAVL Tree,Rotations,224099
36,Delete,RB Tree,Path,617560
36,Delete,WAVL Tree,Path,921557
37,Insert,RB Tree,Rotations,587873
37,Insert,WAVL Tree,Rotations,702773
37,Insert,RB Tree,Path,1030066
37,Insert,WAVL Tree,Path,1790939
37,Delete,RB Tree,Rotations,184450
37,Delete,WAVL Tree,Rotations,223726
37,Delete,RB Tree,Path,617668
37,Delete,WAVL Tree,Path,922706
38,Insert,RB Tree,Rotations,589294
38,Insert,WAVL Tree,Rotations,702930
38,Insert,RB Tree,Path,1030582
38,Insert,WAVL Tree,Path,1790094
38,Delete,RB Tree,Rotations,184284
38,Delete,WAVL Tree,Rotations,223347
38,Delete,RB Tree,Path,617608
38,Delete,WAVL Tree,Path,921444
39,Insert,RB Tree,Rotations,587667
39,Insert,WAVL Tree,Rotations,703271
39,Insert,RB Tree,Path,1032088
39,Insert,WAVL Tree,Path,1790717
39,Delete,RB Tree,Rotations,185632
39,Delete,WAVL Tree,Rotations,224340
39,Delete,RB Tree,Path,618985
39,Delete,WAVL Tree,Path,921805
40,Insert,RB Tree,Rotations,588593
40,Insert,WAVL Tree,Rotations,705142
40,Insert,RB Tree,Path,1031156
40,Insert,WAVL Tree,Path,1792474
40,Delete,RB Tree,Rotations,184896
40,Delete,WAVL Tree,Rotations,224313
40,Delete,RB Tree,Path,618284
40,Delete,WAVL Tree,Path,922065
41,Insert,RB Tree,Rotations,587045
41,Insert,WAVL Tree,Rotations,702876
41,Insert,RB Tree,Path,1030780
41,Insert,WAVL Tree,Path,1790615
41,Delete,RB Tree,Rotations,183825
41,Delete,WAVL Tree,Rotations,223476
41,Delete,RB Tree,Path,617462
41,Delete,WAVL Tree,Path,921670
42,Insert,RB Tree,Rotations,588720
42,Insert,WAVL Tree,Rotations,705130
42,Insert,RB Tree,Path,1031310
42,Insert,WAVL Tree,Path,1792295
42,Delete,RB Tree,Rotations,184220
42,Delete,WAVL Tree,Rotations,224454
42,Delete,RB Tree,Path,618098
42,Delete,WAVL Tree,Path,921966
43,Insert,RB Tree,Rotations,587396
43,Insert,WAVL Tree,Rotations,703200
43,Insert,RB Tree,Path,1031056
43,Insert,WAVL Tree,Path,1791496
43,Delete,RB Tree,Rotations,184887
43,Delete,WAVL Tree,Rotations,224861
43,Delete,RB Tree,Path,618442
43,Delete,WAVL Tree,Path,922905
44,Insert,RB Tree,Rotations,589515
44,Insert,WAVL Tree,Rotations,704385
44,Insert,RB Tree,Path,1030708
44,Insert,WAVL Tree,Path,1790888
44,Delete,RB Tree,Rotations,184205
44,Delete,WAVL Tree,Rotations,223558
44,Delete,RB Tree,Path,617417
44,Delete,WAVL Tree,Path,921885
45,Insert,RB Tree,Rotations,587982
45,Insert,WAVL Tree,Rotations,702758
45,Insert,RB Tree,Path,1030208
45,Insert,WAVL Tree,Path,1790196
45,Delete,RB Tree,Rotations,184368
45,Delete,WAVL Tree,Rotations,223077
45,Delete,RB Tree,Path,617713
45,Delete,WAVL Tree,Path,922232
46,Insert,RB Tree,Rotations,587741
46,Insert,WAVL Tree,Rotations,703561
46,Insert,RB Tree,Path,1031614
46,Insert,WAVL Tree,Path,1791364
46,Delete,RB Tree,Rotations,184773
46,Delete,WAVL Tree,Rotations,223267
46,Delete,RB Tree,Path,618344
46,Delete,WAVL Tree,Path,922710
47,Insert,RB Tree,Rotations,590290
47,Insert,WAVL Tree,Rotations,705475
47,Insert,RB Tree,Path,1030344
47,Insert,WAVL Tree,Path,1791616
47,Delete,RB Tree,Rotations,185580
47,Delete,WAVL Tree,Rotations,225385
47,Delete,RB Tree,Path,617938
47,Delete,WAVL Tree,Path,921726
48,Insert,RB Tree,Rotations,588318
48,Insert,WAVL Tree,Rotations,703979
48,Insert,RB Tree,Path,1030560
48,Insert,WAVL Tree,Path,1790426
48,Delete,RB Tree,Rotations,183999
48,Delete,WAVL Tree,Rotations,223888
48,Delete,RB Tree,Path,617357
48,Delete,WAVL Tree,Path,921156
49,Insert,RB Tree,Rotations,587829
49,Insert,WAVL Tree,Rotations,703353
49,Insert,RB Tree,Path,1030192
49,Insert,WAVL Tree,Path,1790522
49,Delete,RB Tree,Rotations,183392
49,Delete,WAVL Tree,Rotations,222986
49,Delete,RB Tree,Path,617225
49,Delete,WAVL Tree,Path,922891
50,Insert,RB Tree,Rotations,588863
50,Insert,WAVL Tree,Rotations,703120
50,Insert,RB Tree,Path,1030400
50,Insert,WAVL Tree,Path,1790707
50,Delete,RB Tree,Rotations,184675
50,Delete,WAVL Tree,Rotations,223656
50,Delete,RB Tree,Path,617962
50,Delete,WAVL Tree,Path,922535
51,Insert,RB Tree,Rotations,588599
51,Insert,WAVL Tree,Rotations,704166
51,Insert,RB Tree,Path,1031458
51,Insert,WAVL Tree,Path,1791313
51,Delete,RB Tree,Rotations,183537
51,Delete,WAVL Tree,Rotations,223909
51,Delete,RB Tree,Path,617709
51,Delete,WAVL Tree,Path,922509
52,Insert,RB Tree,Rotations,590100
52,Insert,WAVL Tree,Rotations,705834
52,Insert,RB Tree,Path,1030262
52,Insert,WAVL Tree,Path,1791893
52,Delete,RB Tree,Rotations,185100
52,Delete,WAVL Tree,Rotations,224059
52,Delete,RB Tree,Path,617870
52,Delete,WAVL Tree,Path,921521
53,Insert,RB Tree,Rotations,587955
53,Insert,WAVL Tree,Rotations,703859
53,Insert,RB Tree,Path,1030208
53,Insert,WAVL Tree,Path,1790483
53,Delete,RB Tree,Rotations,184755
53,Delete,WAVL Tree,Rotations,223114
53,Delete,RB Tree,Path,617801
53,Delete,WAVL Tree,Path,922077
54,Insert,RB Tree,Rotations,588349
54,Insert,WAVL Tree,Rotations,703962
54,Insert,RB Tree,Path,1030996
54,Insert,WAVL Tree,Path,1790955
54,Delete,RB Tree,Rotations,184651
54,Delete,WAVL Tree,Rotations,224369
54,Delete,RB Tree,Path,618227
54,Delete,WAVL Tree,Path,921825
55,Insert,RB Tree,Rotations,587894
55,Insert,WAVL Tree,Rotations,703155
55,Insert,RB Tree,Path,1030114
55,Insert,WAVL Tree,Path,1790934
55,Delete,RB Tree,Rotations,183857
55,Delete,WAVL Tree,Rotations,223355
55,Delete,RB Tree,Path,617224
55,Delete,WAVL Tree,Path,922174
56,Insert,RB Tree,Rotations,587626
56,Insert,WAVL Tree,Rotations,704135
56,Insert,RB Tree,Path,1030758
56,Insert,WAVL Tree,Path,1790776
56,Delete,RB Tree,Rotations,185498
56,Delete,WAVL Tree,Rotations,223958
56,Delete,RB Tree,Path,618396
56,Delete,WAVL Tree,Path,921794
57,Insert,RB Tree,Rotations,588043
57,Insert,WAVL Tree,Rotations,703908
57,Insert,RB Tree,Path,1030432
57,Insert,WAVL Tree,Path,1791199
57,Delete,RB Tree,Rotations,183375
57,Delete,WAVL Tree,Rotations,223412
57,Delete,RB Tree,Path,616938
57,Delete,WAVL Tree,Path,922340
58,Insert,RB Tree,Rotations,587273
58,Insert,WAVL Tree,Rotations,703022
58,Insert,RB Tree,Path,1030722
